PlateID,SampleID,WellID
Plate2,Samplea2,B9
Plate2,Samplea3,C9
Plate2,Samplea4,D9
Plate2,Samplea5,E9
Plate2,Samplea6,F9
Plate2,Samplea7,G9
Plate2,Samplea8,H9
Plate2,Samplea9,A10
Plate2,Sampleaa,B10
Plate2,Sampleab,C10
Plate2,Sampleac,D10
Plate2,Samplead,E10
Plate2,Sampleae,F10
Plate2,Sampleaf,G10
Plate2,Sampleb0,H10
Plate2,Sampleb1,A11
Plate2,Sampleb2,B11
Plate2,Sampleb3,C11
Plate2,Sampleb4,D11
Plate2,Sampleb5,E11
Plate2,Sampleb6,F11
Plate2,Sampleb7,G11
Plate2,Sampleb8,H11
Plate2,Sampleb9,A12
Plate2,Sampleba,B12
Plate2,Samplebb,C12
Plate2,Samplebc,D12
Plate2,Samplebd,E12
Plate2,Samplebe,F12
Plate2,Samplebf,G12
Plate2,Samplec0,H12
Plate3,Samplec1,A1
Plate3,Samplec2,B1
Plate3,Samplec3,C1
Plate3,Samplec4,D1
Plate3,Samplec5,E1
Plate3,Samplec6,F1
Plate3,Samplec7,G1
Plate3,Samplec8,H1
Plate3,Samplec9,A2
Plate3,Sampleca,B2
Plate3,Samplecb,C2
Plate3,Samplecc,D2
Plate3,Samplecd,E2
Plate3,Samplece,F2
Plate3,Samplecf,G2
Plate3,Sampled0,H2
Plate3,Sampled1,A3
Plate3,Sampled2,B3
Plate3,Sampled3,C3
Plate3,Sampled4,D3
Plate3,Sampled5,E3
Plate3,Sampled6,F3
Plate3,Sampled7,G3
Plate3,Sampled8,H3
Plate3,Sampled9,A4
Plate3,Sampleda,B4
Plate3,Sampledb,C4
Plate3,Sampledc,D4
Plate3,Sampledd,E4
Plate3,Samplede,F4
Plate3,Sampledf,G4
Plate3,Samplee0,H4
Plate3,Samplee1,A5
Plate3,Samplee2,B5
Plate3,Samplee3,C5
Plate3,Samplee4,D5
Plate3,Samplee5,E5
Plate3,Samplee6,F5
Plate3,Samplee7,G5
Plate3,Samplee8,H5
Plate3,Samplee9,A6
Plate3,Sampleea,B6
Plate3,Sampleeb,C6
Plate3,Sampleec,D6
Plate3,Sampleed,E6
Plate3,Sampleee,F6
Plate3,Sampleef,G6
Plate3,Samplef0,H6
Plate3,Samplef1,A7
Plate3,Samplef2,B7
Plate3,Samplef3,C7
Plate3,Samplef4,D7
Plate3,Samplef5,E7
Plate3,Samplef6,F7
Plate3,Samplef7,G7
Plate3,Samplef8,H7
Plate3,Samplef9,A8
Plate3,Samplefa,B8
Plate3,Samplefb,C8
Plate3,Samplefc,D8
Plate3,Samplefd,E8
Plate3,Samplefe,F8
Plate3,Sampleff,G8
Plate3,Sample100,H8
Plate3,Sample101,A9
Plate3,Sample102,B9
Plate3,Sample103,C9
Plate3,Sample104,D9
Plate3,Sample105,E9
Plate3,Sample106,F9
Plate3,Sample107,G9
Plate3,Sample108,H9
Plate3,Sample109,A10
Plate3,Sample10a,B10
Plate3,Sample10b,C10
Plate3,Sample10c,D10
Plate3,Sample10d,E10
Plate3,Sample10e,F10
Plate3,Sample10f,G10
Plate3,Sample110,H10
Plate3,Sample111,A11
Plate3,Sample112,B11
Plate3,Sample113,C11
Plate3,Sample114,D11
Plate3,Sample115,E11
Plate3,Sample116,F11
Plate3,Sample117,G11
Plate3,Sample118,H11
Plate3,Sample119,A12
Plate3,Sample11a,B12
Plate3,Sample11b,C12
Plate3,Sample11c,D12
Plate3,Sample11d,E12
Plate3,Sample11e,F12
Plate3,Sample11f,G12
Plate3,Sample120,H12
Plate4,Sample121,A1
Plate4,Sample122,B1
Plate4,Sample123,C1
Plate4,Sample124,D1
Plate4,Sample125,E1
Plate4,Sample126,F1
Plate4,Sample127,G1
Plate4,Sample128,H1
Plate4,Sample129,A2
Plate4,Sample12a,B2
Plate4,Sample12b,C2
Plate4,Sample12c,D2
Plate4,Sample12d,E2
Plate4,Sample12e,F2
Plate4,Sample12f,G2
Plate4,Sample130,H2
Plate4,Sample131,A3
Plate4,Sample132,B3
Plate4,Sample133,C3
Plate4,Sample134,D3
Plate4,Sample135,E3
Plate4,Sample136,F3
Plate4,Sample137,G3
Plate4,Sample138,H3
Plate4,Sample139,A4
Plate4,Sample13a,B4
Plate4,Sample13b,C4
Plate4,Sample13c,D4
Plate4,Sample13d,E4
Plate4,Sample13e,F4
Plate4,Sample13f,G4
Plate4,Sample140,H4
Plate4,Sample141,A5
Plate4,Sample142,B5
Plate4,Sample143,C5
Plate4,Sample144,D5
Plate4,Sample145,E5
Plate4,Sample146,F5
Plate4,Sample147,G5
Plate4,Sample148,H5
Plate4,Sample149,A6
Plate4,Sample14a,B6
Plate4,Sample14b,C6
Plate4,Sample14c,D6
Plate4,Sample14d,E6
Plate4,Sample14e,F6
Plate4,Sample14f,G6
Plate4,Sample150,H6
Plate4,Sample151,A7
Plate4,Sample152,B7
Plate4,Sample153,C7
Plate4,Sample154,D7
Plate4,Sample155,E7
Plate4,Sample156,F7
Plate4,Sample157,G7
Plate4,Sample158,H7
Plate4,Sample159,A8
Plate4,Sample15a,B8
Plate4,Sample15b,C8
Plate4,Sample15c,D8
Plate4,Sample15d,E8
Plate4,Sample15e,F8
Plate4,Sample15f,G8
Plate4,Sample160,H8
Plate4,Sample161,A9
Plate4,Sample162,B9
Plate4,Sample163,C9
Plate4,Sample164,D9
Plate4,Sample165,E9
Plate4,Sample166,F9
Plate4,Sample167,G9
Plate4,Sample168,H9
Plate4,Sample169,A10
Plate4,Sample16a,B10
Plate4,Sample16b,C10
Plate4,Sample16c,D10
Plate4,Sample16d,E10
Plate4,Sample16e,F10
Plate4,Sample16f,G10
Plate4,Sample170,H10
Plate4,Sample171,A11
Plate4,Sample172,B11
Plate4,Sample173,C11
Plate4,Sample174,D11
Plate4,Sample175,E11
Plate4,Sample176,F11
Plate4,Sample177,G11
Plate4,Sample178,H11
Plate4,Sample179,A12
Plate4,Sample17a,B12
Plate4,Sample17b,C12
Plate4,Sample17c,D12
Plate4,Sample17d,E12
Plate4,Sample17e,F12
Plate4,Sample17f,G12
Plate4,Sample180,H12
